key	title	url
145	Efficient sim-to-real transfer of contact-rich manipulation skills with online admittance residual learning	
188	Surfing on an uncertain edge: Precision cutting of soft tissue using torque-based medium classification	
tassi2025ima	IMA-catcher: An IMpact-aware nonprehensile catching framework based on combined optimization and learning	
11	Guiding real-world reinforcement learning for in-contact manipulation tasks with Shared Control Templates	
18	Knowledge-guided robot learning on compliance control for robotic assembly task with predictive model	
38	Cognitive manipulation: Semi-supervised visual representation and classroom-to-real reinforcement learning for assembly in semi-structured environments	https://arxiv.org/abs/2406.00364
51	Text2Interaction: Establishing Safe and Preferable Human-Robot Interaction	
75	Passivity-based skill motion learning in stiffness-adaptive unified force-impedance control	
84	Hybrid trajectory and force learning of complex assembly tasks: A combined learning framework	
88	Model-based actor-critic learning of robotic impedance control in complex interactive environment	
129	POLICEd RL: Learning Closed-Loop Robot Control Policies with Provable Satisfaction of Hard Constraints	
4	A contact model based on denoising diffusion to learn variable impedance control for contact-rich manipulation	
425online	Online Learning for Vibration Suppression in Physical Robot Interaction using Power Tools	https://arxiv.org/abs/2508.03559
170	Beyond Pick-and-Place: Tackling Robotic Stacking of Diverse Shapes	
3	Safe peg-in-hole automatic assembly using virtual guiding force: A deep reinforcement learning solution	
142	Admittance control for robot polishing force tracking based on reinforcement learning	
56	Adaptive neural network force tracking control of flexible joint robot with an uncertain environment	
13	Modem-v2: Visuo-motor world models for real-world robot manipulation	
14	Safe contact-based robot active search using Bayesian optimization and control barrier functions	
95	Data-efficient hierarchical reinforcement learning for robotic assembly control applications	
20	Robotic disassembly task training and skill transfer using reinforcement learning	
15	Task-oriented safety field for robot control in human-robot collaborative assembly based on residual learning	
44	Guarding Force: Safety-Critical Compliant Control for Robot-Environment Interaction	https://arxiv.org/abs/2405.04859
zhang2025passivity	Passivity-Centric Safe Reinforcement Learning for Contact-Rich Robotic Tasks	https://arxiv.org/abs/2503.00287
zanella2024learning	Learning passive policies with virtual energy tanks in robotics	
7	Composable interaction primitives: A structured policy class for efficiently learning sustained-contact manipulation skills	
34	Should We Learn Contact-Rich Manipulation Policies From Sampling-Based Planners?	http://dx.doi.org/10.1109/lra.2025.3564701
37	Bridging the Sim-to-Real Gap with Dynamic Compliance Tuning for Industrial Insertion	http://dx.doi.org/10.1109/icra57147.2024.10610707
39	Configuration and Force-field Aware Variable Impedance Control with Faster Re-learning	http://dx.doi.org/10.1007/s10846-023-02022-x
40	Data-Efficient Reinforcement Learning for Variable Impedance Control	http://dx.doi.org/10.1109/access.2024.3355311
41	Deep reinforcement learning on variable stiffness compliant control for programming-free robotic assembly in smart manufacturing	http://dx.doi.org/10.1080/00207543.2024.2318488
42	Diffusion forcing: Next-token prediction meets full-sequence diffusion	
49	Robotic assembly control reconfiguration based on transfer reinforcement learning for objects with different geometric features	http://dx.doi.org/10.1016/j.engappai.2023.107576
55	Active compliance control of robot peg-in-hole assembly based on combined reinforcement learning	http://dx.doi.org/10.1007/s10489-023-05156-5
58	An Open Tele-Impedance Framework to Generate Data for Contact-Rich Tasks in Robotic Manipulation	http://dx.doi.org/10.1109/arso56563.2023.10187436
60	Data-Driven Control of Hydraulic Manipulators by Reinforcement Learning	http://dx.doi.org/10.1109/tmech.2023.3336070
61	Impedance control and parameter optimization of surface polishing robot based on reinforcement learning	http://dx.doi.org/10.1177/09544054221100004
63	Learning-Based High-Precision Force Estimation and Compliant Control for Small-Scale Continuum Robot	http://dx.doi.org/10.1109/tase.2023.3311179
64	Space manipulator optimal impedance control using integral reinforcement learning	http://dx.doi.org/10.1016/j.ast.2023.108388
68	An Adaptive Imitation Learning Framework for Robotic Complex Contact-Rich Insertion Tasks	http://dx.doi.org/10.3389/frobt.2021.777363
69	Evaluation of Variable Impedance- and Hybrid Force/MotionControllers for Learning Force Tracking Skills	http://dx.doi.org/10.1109/sii52469.2022.9708826
70	Generating Manipulation Sequences using Reinforcement Learning and Behavior Trees for Peg-In-Hole Task	http://dx.doi.org/10.1109/smc53654.2022.9945269
71	Learning Variable Impedance Control for Aerial Sliding on Uneven Heterogeneous Surfaces by Proprioceptive and Tactile Sensing	http://dx.doi.org/10.1109/lra.2022.3194315
74	Optimizing Non-diagonal Stiffness Matrix of Compliance Control for Robotic Assembly Using Deep Reinforcement Learning	http://dx.doi.org/10.1088/1742-6596/2402/1/012013
77	Reinforcement Learning for Contact-Rich Assembly	
78	Reinforcement Learning-Based Impedance Learning for Robot Admittance Control in Industrial Assembly	http://dx.doi.org/10.1109/icarm54641.2022.9959152
79	Robotic Peg-in-Hole Assembly Strategy Research Based on Reinforcement Learning Algorithm	http://dx.doi.org/10.3390/app122111149
83	How to train your robot with deep reinforcement learning: lessons we have learned	http://dx.doi.org/10.1177/0278364920987859
93	Assistive Gym: A Physics Simulation Framework for Assistive Robotics	http://dx.doi.org/10.1109/icra40945.2020.9197411
97	Learning Variable Impedance Control for Contact Sensitive Tasks	http://dx.doi.org/10.1109/lra.2020.3011379
98	Model accelerated reinforcement learning for high precision robotic assembly	http://dx.doi.org/10.1007/s41315-020-00138-z
340	Safe Data-Driven Contact-Rich Manipulation	http://dx.doi.org/10.1109/humanoids47582.2021.9555680
103	Safety Augmented Value Estimation From Demonstrations (SAVED): Safe Deep Model-Based RL for Sparse Cost Robotic Tasks	http://dx.doi.org/10.1109/lra.2020.2976272
109	Diverse Policy Learning via Random Obstacle Deployment for Zero-Shot Adaptation	http://dx.doi.org/10.1109/lra.2025.3532162
110	Learning Latent Causal Factors from the Intricate Sensor Feedback of Contact-Rich Robotic Assembly Tasks	http://dx.doi.org/10.2139/ssrn.4566684
111	Multimodal Task Attention Residual Reinforcement Learning: Advancing Robotic Assembly in Unstructured Environment	http://dx.doi.org/10.1109/lra.2025.3547647
112	RoboMT: Human-Like Compliance Control for Assembly via a Bilateral Robotic Teleoperation and Hybrid Mamba-Transformer Framework	http://dx.doi.org/10.1109/lra.2025.3579238
114	Safe Robot Reflexes: A Taxonomy-Based Decision and Modulation Framework	http://dx.doi.org/10.1109/tro.2024.3519421
117	TacDiffusion: Force-Domain Diffusion Policy for Precise Tactile Manipulation	http://dx.doi.org/10.1109/icra55743.2025.11127334
119	CaT: Constraints as Terminations for Legged Locomotion Reinforcement Learning	http://dx.doi.org/10.1109/iros58592.2024.10802334
120	Combining Sampling- and Gradient-based Planning for Contact-rich Manipulation	http://dx.doi.org/10.1109/iros58592.2024.10802369
121	Data-Driven Permissible Safe Control with Barrier Certificates	http://dx.doi.org/10.1109/cdc56724.2024.10886850
122	Deep Visual-guided and Deep Reinforcement Learning Algorithm Based for Multip-Peg-in-Hole Assembly Task of Power Distribution Live-line Operation Robot	http://dx.doi.org/10.1007/s10846-024-02079-2
126	GenSafe: A Generalizable Safety Enhancer for Safe Reinforcement Learning Algorithms Based on Reduced Order Markov Decision Process Model	http://dx.doi.org/10.1109/tnnls.2024.3496492
128	Learning Robust Skills for Tightly Coordinated Arms in Contact-Rich Tasks	http://dx.doi.org/10.1109/lra.2024.3359542
130	Precise Control of Soft Robots Amidst Uncertain Environmental contacts and Forces_supp3-3427339.mp4	http://dx.doi.org/10.1109/tro.2024.3427339/mm2
132	RLDG: Robotic Generalist Policy Distillation via Reinforcement Learning	http://dx.doi.org/10.15607/rss.2025.xxi.028
133	Safe Reinforcement Learning in a Simulated Robotic Arm	http://dx.doi.org/10.1007/978-3-031-44207-0_53
135	SC-AIRL: Share-Critic in Adversarial Inverse Reinforcement Learning for Long-Horizon Task	http://dx.doi.org/10.1109/lra.2024.3366023
136	Semantically Safe Robot Manipulation: From Semantic Scene Understanding to Motion Safeguards	http://dx.doi.org/10.1109/lra.2025.3553046
137	Sim-to-Lab-to-Real: Safe reinforcement learning with shielding and generalization guarantees	http://dx.doi.org/10.1016/j.artint.2022.103811
138	A Learning-Based Adaptive Compliance Method for Symmetric Bi-Manual Manipulation	http://dx.doi.org/10.2139/ssrn.4949198
139	A Sim-to-Real Learning-Based Framework for Contact-Rich Assembly by Utilizing CycleGAN and Force Control	http://dx.doi.org/10.1109/tcds.2023.3237734
140	Adaptive variable impedance position/force tracking control of fracture reduction robot	http://dx.doi.org/10.1002/rcs.2469
141	Adaptive Admittance Control for Physical Human-Robot Interaction based on Imitation and Reinforcement Learning	http://dx.doi.org/10.1109/m2vip58386.2023.10413438
144	Deep Reinforcement Learning for Real-Time Assembly Planning in Robot-Based Prefabricated Construction	http://dx.doi.org/10.1109/tase.2023.3236805
146	Efficient Online Learning of Contact Force Models for Connector Insertion	http://dx.doi.org/10.1109/icra55743.2025.11127717
147	Fuzzy variable impedance-based adaptive neural network control in physical human–robot interaction	http://dx.doi.org/10.1177/09596518221128088
148	Generalizable Human-Robot Collaborative Assembly Using Imitation Learning and Force Control	http://dx.doi.org/10.23919/ecc57647.2023.10178330
149	Learning Compliant Stiffness by Impedance Control-Aware Task Segmentation and Multi-Objective Bayesian Optimization with Priors	http://dx.doi.org/10.1109/iros55552.2023.10342096
150	Pre-and Post-Contact Policy Decomposition for Non-Prehensile Manipulation with Zero-Shot Sim-To-Real Transfer	http://dx.doi.org/10.1109/iros55552.2023.10341657
151	Robotic Table Wiping via Reinforcement Learning and Whole-body Trajectory Optimization	http://dx.doi.org/10.1109/icra48891.2023.10161283
155	Adaptive Interaction Control of Compliant Robots Using Impedance Learning	http://dx.doi.org/10.3390/s22249740
157	Closing the Gap: Combining Task Specification and Reinforcement Learning for Compliant Vegetable Cutting	http://dx.doi.org/10.1007/978-3-030-92442-3_11
159	Expert Initialized Reinforcement Learning with Application to Robotic Assembly	http://dx.doi.org/10.1109/case49997.2022.9926540
162	Impedance Adaptation by Reinforcement Learning with Contact Dynamic Movement Primitives	http://dx.doi.org/10.1109/aim52237.2022.9863416
163	Learning Assembly Tasks in a Few Minutes by Combining Impedance Control and Residual Recurrent Reinforcement Learning	http://dx.doi.org/10.1002/aisy.202100095
165	Safe Value Functions	http://dx.doi.org/10.1109/tac.2022.3200948
